URL,package,cran_name
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-metagenomeseq/r-bioc-metagenomeseq_1.20.0-1.dsc,metagenomeseq,r-bioc-metagenomeseq
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-multtest/r-bioc-multtest_2.34.0-1.dsc,multtest,r-bioc-multtest
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-phyloseq/r-bioc-phyloseq_1.22.3-1.dsc,phyloseq,r-bioc-phyloseq
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-preprocesscore/r-bioc-preprocesscore_1.40.0-1.dsc,preprocesscore,r-bioc-preprocesscore
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-protgenerics/r-bioc-protgenerics_1.10.0-1.dsc,protgenerics,r-bioc-protgenerics
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-qvalue/r-bioc-qvalue_2.10.0-1.dsc,qvalue,r-bioc-qvalue
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-rbgl/r-bioc-rbgl_1.54.0+dfsg-1.dsc,rbgl,r-bioc-rbgl
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-rsamtools/r-bioc-rsamtools_1.30.0-1.dsc,rsamtools,r-bioc-rsamtools
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-rtracklayer/r-bioc-rtracklayer_1.38.0-1build1.dsc,rtracklayer,r-bioc-rtracklayer
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-s4vectors/r-bioc-s4vectors_0.16.0-1.dsc,s4vectors,r-bioc-s4vectors
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-savr/r-bioc-savr_1.16.0-1.dsc,savr,r-bioc-savr
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-shortread/r-bioc-shortread_1.36.0-1.dsc,shortread,r-bioc-shortread
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-snpstats/r-bioc-snpstats_1.28.0+dfsg-1.dsc,snpstats,r-bioc-snpstats
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-summarizedexperiment/r-bioc-summarizedexperiment_1.8.0-1.dsc,summarizedexperiment,r-bioc-summarizedexperiment
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-variantannotation/r-bioc-variantannotation_1.24.2-1.dsc,variantannotation,r-bioc-variantannotation
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-bioc-xvector/r-bioc-xvector_0.18.0-1.dsc,xvector,r-bioc-xvector
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-acepack/r-cran-acepack_1.4.1-2build1.dsc,acepack,r-cran-acepack
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-ade4/r-cran-ade4_1.7-10-1.dsc,ade4,r-cran-ade4
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-adegenet/r-cran-adegenet_2.1.1-1.dsc,adegenet,r-cran-adegenet
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-adegraphics/r-cran-adegraphics_1.0-9-1.dsc,adegraphics,r-cran-adegraphics
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-adephylo/r-cran-adephylo_1.1-11-2.dsc,adephylo,r-cran-adephylo
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-aer/r-cran-aer_1.2-5-1.dsc,aer,r-cran-aer
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-afex/r-cran-afex_0.18-0-2.dsc,afex,r-cran-afex
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-amelia/r-cran-amelia_1.7.4-1build1.dsc,amelia,r-cran-amelia
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-amore/r-cran-amore_0.2-15-2.dsc,amore,r-cran-amore
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-animation/r-cran-animation_2.5+dfsg-1.dsc,animation,r-cran-animation
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-ape/r-cran-ape_5.0-1.dsc,ape,r-cran-ape
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-arm/r-cran-arm_1.9-3-2.dsc,arm,r-cran-arm
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-assertthat/r-cran-assertthat_0.2.0-1ubuntu1.dsc,assertthat,r-cran-assertthat
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-backports/r-cran-backports_1.1.1-1.dsc,backports,r-cran-backports
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-base64enc/r-cran-base64enc_0.1-3-1build1.dsc,base64enc,r-cran-base64enc
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-batchjobs/r-cran-batchjobs_1.7-1.dsc,batchjobs,r-cran-batchjobs
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-bayesfactor/r-cran-bayesfactor_0.9.12-2-2build1.dsc,bayesfactor,r-cran-bayesfactor
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-bbmisc/r-cran-bbmisc_1.11-2.dsc,bbmisc,r-cran-bbmisc
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-bbmle/r-cran-bbmle_1.0.20-1ubuntu1.dsc,bbmle,r-cran-bbmle
http://archive.ubuntu.com/ubuntu/pool/universe/r/r-cran-beeswarm/r-cran-beeswarm_0.2.3-2.dsc,beeswarm,r-cran-beeswarm
